Round,expt_n,environment,environment_info,data_file,Model_name,environment.1,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
3,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,SS,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0,0,0,0,0,0,0,0,0.511704659,0.525,0.515238481,0.51236863,0.050201312,0.085796918,0.057360543,0.049282003,0.498717949,0.985,0.662127411,0.553338619,0.007277516,0.024152295,0.0109299,0.008292584,0.22,0.025,0.043281385,0.078968254,0.342539535,0.035355339,0.060350598,0.10838008,models/3_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_14-32.mdl,108.8969247,13.19385791,0.990650892,11.45558715
3,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,SS,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.691812632,0.42,0.518259475,0.608225273,0.126238825,0.09486833,0.090551831,0.101283836,0,0,0,0,0,0,0,0,0.25,0.015,0.028138528,0.05952381,0.424918293,0.024152295,0.045322652,0.096184124,0.523083076,0.62,0.566292952,0.5393429,0.057977308,0.09486833,0.068260482,0.060596122,models/3_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_14-34.mdl,97.19327188,12.93468118,0.991611481,11.67041278
3,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,SS,1,-1,-40,0.098,0.95,0,0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.577167685,1,0.731663654,0.630386435,0.02304157,0,0.018282465,0.021893434,0.474916388,0.59,0.525657474,0.493886436,0.049359502,0.080966385,0.060266758,0.052842051,0.498650472,0.98,0.66091954,0.552949554,0.011389104,0.034960295,0.017261943,0.013139154,0.374264069,0.11,0.165766178,0.244049874,0.21982474,0.080966385,0.11105499,0.148905798,models/3_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_14-36.mdl,157.5210078,13.09982443,1.020333529,11.62306857
3,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,SS,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.749526455,0.98,0.848813015,0.78621901,0.031773116,0.025819889,0.019818711,0.027183351,0.472910207,0.455,0.459340822,0.46601743,0.073521231,0.121220644,0.093265043,0.078644008,0.514659092,0.99,0.677074078,0.569265297,0.014832484,0.021081851,0.01388102,0.014613903,0.539183007,0.29,0.368622368,0.450940023,0.141666694,0.137032032,0.129682437,0.128624625,models/3_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_14-39.mdl,145.7780356,25.96189713,1.653176069,19.56708002
3,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,SS,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.679011149,0.75,0.710539472,0.690779591,0.071825085,0.084983659,0.065653941,0.066569783,0.518143825,0.61,0.556753364,0.532275365,0.04792694,0.128668394,0.072113249,0.053789894,0.4,0.03,0.055411255,0.113095238,0.459468292,0.034960295,0.064138127,0.129196989,0.509545279,0.325,0.390749461,0.451491013,0.097314875,0.092044675,0.087149141,0.088646889,models/3_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_14-43.mdl,150.9343321,17.02756929,1.165881872,14.78577518
3,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,SS,1,-1,-40,0.13,0.95,0,0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.5,1,0.666666667,0.555555556,0,0,0,0,0.460272348,0.475,0.465134032,0.461505098,0.061500009,0.106066017,0.083260573,0.06971421,0.501349528,0.98,0.663276836,0.555599601,0.011389104,0.025819889,0.014247388,0.012230012,0.478597976,0.555,0.508443712,0.488723897,0.099919574,0.109163486,0.079176774,0.085702234,models/3_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_14-46.mdl,205.6545022,15.21355128,1.046907663,12.92641544
3,10,SS,PHM C06 SS LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_LowNBD.mdl,SS,1,-1,-40,0.13,0.95,1000,0.05,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497437721,0.965,0.656380284,0.550777711,0.012030423,0.033747428,0.016563413,0.01329953,0.111904762,0.035,0.052818478,0.076680264,0.146255867,0.047434165,0.0707666,0.101395493,models/3_10_PHM_C06_SS_LowNBD__RF_Model_28-Jun-2023_14-50.mdl,118.7983174,16.61427712,1.624808073,16.60723209
3,11,SS,PHM C06 SS HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_HighNBD.mdl,SS,1,-1,-40,0.13,0.9,100,0.1,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.926057692,0.68,0.782328644,0.86193394,0.047152085,0.071492035,0.05601088,0.045783286,0.52537481,0.7,0.598450165,0.552058478,0.055596345,0.102740233,0.065902849,0.057685054,0.497435897,0.975,0.658698617,0.551429998,0.013531964,0.035355339,0.018740907,0.015090078,0.447619048,0.125,0.191943604,0.287174631,0.14062968,0.042491829,0.059204798,0.08049958,models/3_11_PHM_C06_SS_HighNBD__RF_Model_28-Jun-2023_14-52.mdl,128.2548511,21.08941722,1.044431686,12.34639668
3,12,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,MS,1,-1,-40,0.12,0.925,0,0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,0.92778879,0.955,0.94083847,0.932881054,0.033231027,0.036893239,0.029239577,0.030328939,0.512142857,0.105,0.168231361,0.271001221,0.35841124,0.086442017,0.131845268,0.198992495,0.3,0.015,0.028571429,0.0625,0.483045892,0.024152295,0.046004371,0.100634561,0.503580808,0.4,0.441999694,0.475473082,0.083631054,0.11055416,0.094326653,0.084158931,models/3_12_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_14-55.mdl,176.5294514,22.66594839,1.666113853,13.88833427
3,13,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,MS,1,-1,-50,0.098,0.85,0,0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,0.881666667,0.12,0.205976473,0.367261905,0.161101532,0.048304589,0.073669552,0.102436981,0.491358921,0.535,0.510221928,0.498295046,0.114321332,0.122587837,0.112645301,0.112554459,0.45,0.035,0.064502165,0.130952381,0.497214463,0.04116363,0.07521485,0.149929647,0.494811275,0.68,0.570703141,0.52226808,0.036279957,0.115950181,0.061129807,0.043383011,models/3_13_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_14-59.mdl,166.0225871,25.1591835,2.448913336,15.24501514
3,14,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,MS,1,-1,-40,0.13,0.925,0,0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,1,0.575,0.72983871,0.870863971,0,0.026352314,0.021251866,0.012110438,0.541878984,0.475,0.501157525,0.523011319,0.074858171,0.11843892,0.094392128,0.079992972,0.483333333,0.03,0.055881799,0.116815476,0.474341649,0.025819889,0.048165598,0.101901027,0.41852782,0.33,0.364706871,0.393595407,0.122451106,0.125166556,0.120419321,0.119487624,models/3_14_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_15-02.mdl,185.5507188,19.15145254,1.642326832,12.39794445
4,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,SS,1,-1,-100,3,1,0,0,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.954895572,0.94,0.946762121,0.951467391,0.036286326,0.051639778,0.037079041,0.034289809,0.441748678,0.475,0.456047755,0.446964417,0.058389295,0.085796918,0.0659298,0.059784498,0.922777778,0.355,0.511344645,0.696955128,0.111055542,0.015811388,0.027765056,0.057387062,0.630753968,0.185,0.275377009,0.397427572,0.286865287,0.097325342,0.137388351,0.185091513,models/4_0_Dasic_NoNBD__RF_Model_28-Jun-2023_15-06.mdl,59.69749904,22.97172713,1.164519548,13.22045016
4,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,SS,1,-1,-100,3,1,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9875,0.725,0.83518377,0.920008354,0.026352314,0.042491829,0.027155005,0.019537803,0.482899495,0.52,0.499349235,0.489036001,0.075787356,0.131656118,0.100302205,0.084765603,0.511813838,0.995,0.675844638,0.566835296,0.013324375,0.015811388,0.013166011,0.013408936,0.356666667,0.04,0.06910559,0.125694444,0.377139984,0.031622777,0.053836599,0.097782776,models/4_1_Dasic_LowNBD__RF_Model_28-Jun-2023_15-07.mdl,59.11829305,21.6218214,1.084967375,13.32050991
4,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,SS,1,-1,-100,3,1,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.988235294,0.77,0.862850869,0.932986906,0.037203267,0.088819417,0.059754338,0.039192498,0.494134414,0.54,0.51392404,0.501395102,0.057367395,0.102198065,0.072734663,0.061631744,0.375000927,0.585,0.456922092,0.403957371,0.009352154,0.024152295,0.012833554,0.010228103,0.642828806,0.75,0.687691759,0.659014445,0.059070408,0.126929552,0.077572918,0.061984741,models/4_2_Dasic_HighNBD__RF_Model_28-Jun-2023_15-09.mdl,52.53589511,22.59637094,1.493396997,13.43381381
4,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,SS,1,-2,-40,0.12,0.95,0,0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.736658751,0.985,0.842304262,0.775470969,0.03350894,0.024152295,0.021350623,0.029075983,0.471436166,0.4,0.430419941,0.453416338,0.155697105,0.147196014,0.14787975,0.151311465,0.496153846,0.975,0.657607637,0.550182053,0.008653187,0.026352314,0.012832124,0.009874212,0.247142857,0.075,0.113665941,0.166207751,0.208746152,0.071686044,0.105217188,0.147660297,models/4_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_15-11.mdl,173.0469034,18.98734188,1.935345173,21.25146508
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,SS,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.914681557,0.86,0.884865384,0.902046911,0.049639341,0.09067647,0.066485843,0.053971065,0.662705628,0.28,0.380606316,0.500579292,0.171298161,0.08232726,0.080006073,0.089594918,0.501495726,0.975,0.662187944,0.555394236,0.013212203,0.026352314,0.014378738,0.013493226,0.414880952,0.105,0.163157398,0.248903874,0.269496307,0.05986095,0.088667472,0.130413398,models/4_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_15-14.mdl,169.5007446,16.39776087,1.118009806,16.74034548
4,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,SS,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.625634581,0.97,0.760100919,0.673203668,0.04223671,0.034960295,0.037532928,0.040833886,0.541408539,0.535,0.533042245,0.536520769,0.089749908,0.139542905,0.10881352,0.094543547,0.510391363,0.975,0.669894418,0.564104449,0.012146923,0.042491829,0.019036542,0.014064299,0.473229271,0.18,0.253352407,0.343734217,0.131118102,0.08232726,0.093239143,0.098880094,models/4_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_15-18.mdl,134.6827435,13.51759076,1.050358295,11.61267281
4,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,SS,1,-1,-40,0.098,0.95,0,0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.889410879,0.975,0.929165723,0.904666514,0.055898393,0.035355339,0.034489783,0.046563354,0.524996422,0.535,0.526747228,0.52496375,0.05813474,0.105540935,0.071466641,0.060288417,0.3,0.02,0.037229437,0.077380952,0.483045892,0.034960295,0.064410257,0.131012492,0.43871556,0.425,0.428226329,0.433437756,0.071673605,0.127475488,0.098469346,0.081517236,models/4_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_15-20.mdl,168.3933594,17.24691153,2.111386776,19.69132495
4,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,SS,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.694871904,0.99,0.815794715,0.738547171,0.047224968,0.021081851,0.033845935,0.042825481,0.597381671,0.44,0.50307528,0.554191571,0.089025083,0.110050493,0.09666093,0.087969701,0.2,0.01,0.019047619,0.041666667,0.421637021,0.021081851,0.040155907,0.087841046,0.303333333,0.04,0.069725955,0.127331349,0.308400893,0.031622777,0.056588195,0.109449692,models/4_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_15-24.mdl,151.6484911,25.67507386,1.173888683,13.66873813
4,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,SS,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.772727273,0.365,0.488386713,0.620437406,0.085031669,0.122587837,0.133015954,0.121622615,0.503368822,0.52,0.508921512,0.504961821,0.07122267,0.115950181,0.087436959,0.075932808,0.481498705,0.92,0.632076246,0.532206408,0.013170064,0.042163702,0.020856409,0.01549908,0.554881042,0.415,0.473700181,0.518873188,0.07185608,0.033747428,0.042865143,0.057069567,models/4_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_15-27.mdl,157.4523504,26.88771796,1.09315753,11.83822298
4,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,SS,1,-1,-40,0.13,0.95,0,0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0,0,0,0,0,0,0,0,0.506829004,0.47,0.485980022,0.497797763,0.119655538,0.141813649,0.129196065,0.122934711,0.4,0.025,0.046753247,0.098214286,0.459468292,0.026352314,0.049307594,0.104095781,0.295,0.06,0.099109253,0.163699495,0.285238691,0.051639778,0.087120084,0.148722168,models/4_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_15-30.mdl,167.1173639,25.4192009,1.670113087,19.07015109
4,10,SS,PHM C06 SS LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_LowNBD.mdl,SS,1,-1,-40,0.13,0.95,1000,0.05,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.991666667,0.605,0.748823968,0.87639365,0.026352314,0.079756574,0.065813678,0.042896251,0.493412698,0.535,0.511969288,0.500390971,0.080189763,0.124833222,0.097701078,0.086252072,0.498717949,0.975,0.659848042,0.552699965,0.009459805,0.026352314,0.013278138,0.01056966,0.473624709,0.295,0.362521121,0.421435866,0.127717233,0.05986095,0.081292045,0.104189915,models/4_10_PHM_C06_SS_LowNBD__RF_Model_28-Jun-2023_15-34.mdl,148.3433852,16.59236121,1.29260397,15.10644317
4,11,SS,PHM C06 SS HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_HighNBD.mdl,SS,1,-1,-40,0.13,0.9,100,0.1,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.657696764,0.935,0.771364867,0.698768891,0.044051552,0.05797509,0.04196771,0.042678133,0.495461146,0.455,0.468564524,0.4822469,0.0968268,0.11890706,0.097828884,0.090923702,0.49217274,0.96,0.650672122,0.545300388,0.012604425,0.039440532,0.01961133,0.014727186,0.548352708,0.655,0.594915843,0.565679074,0.058603493,0.055025247,0.04476558,0.05191192,models/4_11_PHM_C06_SS_HighNBD__RF_Model_28-Jun-2023_15-37.mdl,179.7673099,15.16876483,1.039278507,12.2867465
4,12,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,MS,1,-1,-40,0.12,0.925,0,0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,0,0,0,0,0,0,0,0,0.491466941,0.885,0.631532361,0.539259964,0.023578681,0.070906825,0.035300805,0.02688772,0.5000693,0.97,0.659848042,0.553692028,0.010564063,0.025819889,0.013278138,0.011307299,0.535333214,0.49,0.508505692,0.523399845,0.114992207,0.148698053,0.126735319,0.118064261,models/4_12_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_15-40.mdl,217.1784332,16.77257228,1.727687359,15.08880997
4,13,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,MS,1,-1,-50,0.098,0.85,0,0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,0.908333333,0.15,0.248689354,0.419890873,0.168737139,0.08819171,0.131115239,0.176851826,0.46683899,0.55,0.503031866,0.480313651,0.079991603,0.126929552,0.094271851,0.084124588,0.35,0.02,0.037662338,0.080357143,0.474341649,0.025819889,0.048637926,0.104095781,0.414007937,0.215,0.278115535,0.343609944,0.155798326,0.12030055,0.131803838,0.141924942,models/4_13_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_15-45.mdl,238.4258447,29.63535166,1.922488451,14.01472259
4,14,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,MS,1,-1,-40,0.13,0.925,0,0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,0,0,0,0,0,0,0,0,0.498717949,0.995,0.66440678,0.553977273,0.004054202,0.015811388,0.00714639,0.004990969,0.35,0.025,0.046320346,0.095238095,0.474341649,0.035355339,0.064984749,0.131462451,0.563912476,0.265,0.35709289,0.45536607,0.123555408,0.078351062,0.09366419,0.106881186,models/4_14_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_15-49.mdl,196.3402021,16.84016776,1.553448677,13.09686089
